model dir gamma lambda fphi p_surf cs_surf EJ0 BernRot0 mdot Ldot Ldot_grav gamma_wind gamma_grav gamma_loss v10
A gamma1/lam2.5/phi1.0/ 1.01 2.5 1.0 0.7920792079207921 0.8944271909999159 -2.0 77.99999999999993 -1.1727687350473202 -0.3849321409305386 0.03992332223120049 1.4490681767521594 -0.1361677576767584 1.312900419075401 2.8907986578342926
B gamma1/lam2.5/phi1.4/ 1.01 2.5 1.4142135623730951 1.1201691583153228 1.0636591793889978 -2.8284271247461903 110.30865786510132 -0.5145227256380691 -0.13555220114506733 0.012427330164367504 1.1504217321085104 -0.09661248800201114 1.0538092441064992 3.642288417970296
C gamma1/lam2.5/phi2.0/ 1.01 2.5 2.0 1.5841584158415842 1.2649110640673518 -4.0 155.99999999999986 -0.25650433865366484 -0.06558001654320014 0.004168930122648675 1.0876844739850526 -0.0650114558612221 1.0226730181238306 4.561901830036591
D gamma1/lam2.5/phi4.0/ 1.01 2.5 4.0 3.1683168316831685 1.7888543819998317 -8.0 311.9999999999997 -0.07607713256373161 -0.020931327448654738 0.0002901079146885803 1.1157852378605686 -0.015253356950358246 1.1005318809102103 7.027416896337492
E gamma1/lam5.0/phi1.0/ 1.01 5.0 1.0 0.39603960396039606 0.6324555320336759 -2.0 37.999999999999964 -0.5149128010355881 -0.21497807880958497 0.01282827156349784 1.769669349178507 -0.09965393392976622 1.6700154152487408 1.7568135248490133
F gamma1/lam5.0/phi1.4/ 1.01 5.0 1.4142135623730951 0.5600845791576614 0.7521206186172787 -2.8284271247461903 53.74011537017756 -0.2102146475371875 -0.05335675841053038 0.013248631271792608 1.2673786620038516 -0.2520972049666309 1.0152814570372206 2.217148200192791
G gamma1/lam5.0/phi2.0/ 1.01 5.0 2.0 0.7920792079207921 0.8944271909999159 -4.0 75.99999999999993 -0.10669184030640085 -0.020980900846913505 0.007560966695532755 1.0700674938394115 -0.2834693515012561 0.7865981423381553 2.8188152461484
H gamma1/lam5.0/phi4.0/ 1.01 5.0 4.0 1.5841584158415842 1.2649110640673518 -8.0 151.99999999999986 -0.027803400734465154 -0.006644664065182209 0.00033944023054479516 1.0047841790906527 -0.048834347105463874 0.9559498319851887 4.493737917785449
I gamma1/lam10/phi1.0/ 1.01 10.0 1.0 0.19801980198019803 0.4472135954999579 -2.0 17.999999999999982 -0.07465187760489253 -0.06408525921286919 -0.01694747261818271 2.525738835085759 0.9080801802671342 3.433819015352893 1.150066699688261
J gamma1/lam10/phi1.4/ 1.01 10.0 1.4142135623730951 0.2800422895788307 0.5318295896944989 -2.8284271247461903 25.455844122715686 -0.009715753437318791 -0.005999874956742339 -0.002747353279970485 1.3390713124846183 1.1310922195360522 2.4701635320206705 1.391029483369927
K gamma1/lam10/phi2.0/ 1.01 10.0 2.0 0.39603960396039606 0.6324555320336759 -4.0 35.999999999999964 -0.0027592118012069837 -0.0011444424110806945 5.624014922932827e-05 1.7406167366851633 -0.08153074614239719 1.659085990542766 1.7115442522391564
L gamma1/lam10/phi4.0/ 1.01 10.0 4.0 0.7920792079207921 0.8944271909999159 -8.0 71.99999999999993 -0.000786719465044335 -0.00013086338388201493 2.512829506384491e-05 0.7931247967129885 -0.12776241687335813 0.6653623798396304 2.7298756144645995
